stop_name,time
中央通一丁目,↓
中央通一丁目,↓
中央通一丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,16:45
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
中央通二丁目,↓
本町通一丁目,6:46
本町通一丁目,7:22
本町通一丁目,7:37
本町通一丁目,7:52
本町通一丁目,8:02
本町通一丁目,8:32
本町通一丁目,9:12
本町通一丁目,9:42
本町通一丁目,10:12
本町通一丁目,10:42
本町通一丁目,11:12
本町通一丁目,11:42
本町通一丁目,12:12
本町通一丁目,12:42
本町通一丁目,13:12
本町通一丁目,13:42
本町通一丁目,14:12
本町通一丁目,14:42
本町通一丁目,15:12
本町通一丁目,15:42
本町通一丁目,16:12
本町通一丁目,↓
本町通一丁目,16:42
本町通一丁目,17:02
本町通一丁目,17:22
